YYYY-MM-DD,HH:MM (LST),Zenith (deg),Azimuth (deg),ETR (Wh/m^2),ETRN (Wh/m^2),SUNY Glo (Wh/m^2),SUNY Glo Flg,SUNY Glo Unc (%),SUNY Dir (Wh/m^2),SUNY Dir Flg,SUNY Dir Unc (%),SUNY Dif (Wh/m^2),SUNY Dif Flg,SUNY Dif Unc (%),METSTAT Glo (Wh/m^2),METSTAT Glo Unc (%),METSTAT Dir (Wh/m^2),METSTAT Dir Unc (%),METSTAT Dif (Wh/m^2),METSTAT Dif Unc (%),METSTAT CSKY Glo (Wh/m^2),METSTAT CSKY Glo Unc (%),METSTAT CSKY Dir (Wh/m^2),METSTAT CSKY Dir Unc (%),METSTAT CSKY Dif (Wh/m^2),METSTAT CSKY Dif Unc (%),Meas Glo (Wh/m^2),Meas Glo Flg,Meas Dir (Wh/m^2),Meas Dir Flg,Meas Dif (Wh/m^2),Meas Dif Flg,Precip Wat (cm),Precip Wat Flg,AOD (unitless),AOD Flg,AOD RAN (unitless), AOD RAN Flg,Ozone (cm),Ozone Flg,Albedo (unitless),Albedo Flg
2001-01-01,1:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0.7,2,0.056,3,0.056,3,0.363,1,0.17,0
2001-01-01,2:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0.7,2,0.056,3,0.056,3,0.363,1,0.17,0
2001-01-01,3:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0.7,2,0.056,3,0.056,3,0.363,1,0.17,0
2001-01-01,4:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0.7,2,0.056,3,0.056,3,0.363,1,0.17,0
2001-01-01,5:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0.7,2,0.056,3,0.056,3,0.363,1,0.17,0
2001-01-01,6:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0.7,2,0.056,3,0.056,3,0.363,1,0.17,0
2001-01-01,7:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0.7,2,0.056,3,0.056,3,0.363,1,0.17,0
2001-01-01,8:00,87.8,122.0,27,696,7,1,9,75,1,21,4,1,9,8,10,109,16,4,10,9,10,132,16,4,10,6,1,3,1,5,1,0.7,2,0.056,3,0.042,3,0.363,1,0.17,0
2001-01-01,9:00,81.0,129.5,222,1415,115,0,9,312,0,21,66,0,9,101,10,269,16,58,10,118,10,577,16,28,10,60,1,76,1,40,1,0.6,2,0.056,3,0.042,3,0.363,1,0.17,0
2001-01-01,10:00,72.8,140.9,417,1415,236,0,9,517,0,21,83,0,9,250,10,482,16,108,10,270,10,778,16,40,10,261,3,427,3,135,3,0.6,2,0.056,3,0.042,3,0.363,1,0.17,0
2001-01-01,11:00,66.6,154.1,562,1415,311,0,9,443,0,21,135,0,9,166,10,108,16,124,10,393,10,865,16,50,10,346,3,252,3,244,3,0.6,2,0.056,3,0.042,3,0.363,1,0.17,0
2001-01-01,12:00,62.9,168.7,645,1415,367,0,9,432,0,21,170,0,9,254,10,122,16,198,10,467,10,902,16,55,10,367,3,169,3,282,3,0.6,2,0.056,3,0.042,3,0.363,1,0.17,0
2001-01-01,13:00,62.2,184.2,661,1415,367,0,9,402,0,21,179,0,9,301,10,167,16,223,10,481,10,909,16,56,10,473,3,465,3,255,3,0.6,2,0.056,3,0.042,3,0.363,1,0.17,0
2001-01-01,14:00,64.5,199.4,608,1415,392,0,9,536,0,21,161,0,9,268,10,326,16,128,10,434,10,888,16,53,10,342,3,240,3,229,3,0.6,2,0.056,3,0.042,3,0.363,1,0.17,0
